time_second,fps,fish_count
1,31,200
2,59,220
3,59,240
4,60,260
5,59,280
6,60,300
7,60,320
8,60,340
9,59,360
10,60,380
11,55,400
12,49,420
13,45,440
14,42,460
15,38,480
16,36,500
17,33,520
18,31,540
19,28,560
20,27,580
21,24,600
22,23,620
23,22,640
24,20,660
25,20,680
26,18,700
27,17,720
28,16,740
29,16,760
30,15,780
31,14,800
32,14,820
33,13,840
34,12,860
35,12,880
36,11,900
37,11,920
38,10,940
39,9,960
40,9,980
41,9,1000
42,9,1020
43,8,1040
44,8,1060
45,8,1080
46,8,1100
47,6,1120
48,7,1140
49,7,1160
50,6,1180
51,6,1200
52,6,1220
53,6,1240
54,6,1260
55,6,1280
56,5,1300
57,5,1320
58,5,1340
59,5,1360
60,5,1380
