time_second,fps,fish_count
1,31,200
2,59,220
3,60,240
4,59,260
5,60,280
6,59,300
7,60,320
8,60,340
9,60,360
10,59,380
11,54,400
12,49,420
13,46,440
14,37,460
15,37,480
16,35,500
17,32,520
18,15,540
19,24,560
20,27,580
21,25,600
22,22,620
23,21,640
24,21,660
25,19,680
26,19,700
27,16,720
28,16,740
29,16,760
30,15,780
31,14,800
32,14,820
33,13,840
34,12,860
35,12,880
36,12,900
37,10,920
38,11,940
39,10,960
40,9,980
41,9,1000
42,9,1020
43,6,1040
44,8,1060
45,8,1080
46,8,1100
47,8,1120
48,7,1140
49,7,1160
50,7,1180
51,6,1200
52,7,1220
53,6,1240
54,6,1260
55,6,1280
56,5,1300
57,6,1320
58,5,1340
59,5,1360
60,5,1380
